colonia,alcaldia,latitud,longitud
25 DE JULIO,GUSTAVO A. MADERO,19.49596,-99.0801
LA HABANA,TLAHUAC,19.26454,-98.99344
GRANJAS MEXICO,IZTACALCO,19.40684,-99.10246
ARAGON LA VILLA,GUSTAVO A. MADERO,19.48119,-99.11482
BOSQUE DE LAS LOMAS,MIGUEL HIDALGO,19.40108,-99.24807
AMPLIACION LAS AGUILAS,ALVARO OBREGON,19.35062,-99.22026
SAN JUAN DE ARAGON IV SECCION,GUSTAVO A. MADERO,19.45184,-99.06457
ANO DE JUAREZ,XOCHIMILCO,19.24729,-99.08645
SAN MIGUEL CHAPULTEPEC I SECCION,MIGUEL HIDALGO,19.40289,-99.18704
BARRIO SANTA CATARINA,COYOACAN,19.34575,-99.1726
BARRIO SAN MATEO,AZCAPOTZALCO,19.48429,-99.19342
CITLALLI,IZTAPALAPA,19.34319,-99.02256
LOMAS DE BECERRA,ALVARO OBREGON,19.38424,-99.21704
TLALPEXCO,GUSTAVO A. MADERO,19.54707,-99.12809
GUADALUPE PROLETARIA,GUSTAVO A. MADERO,19.52029,-99.15715
PUEBLO SANTA BARBARA,AZCAPOTZALCO,19.50511,-99.18275
RICARDO FLORES MAGON,IZTAPALAPA,19.35542,-99.09861
SECTOR POPULAR,IZTAPALAPA,19.3666,-99.12239
EJIDOS DE SAN PEDRO MARTIR,TLALPAN,19.26782,-99.15856
EL SANTUARIO,IZTAPALAPA,19.35601,-99.09333
JOSE LOPEZ PORTILLO,IZTAPALAPA,19.30119,-99.08418
OLIVAR DE LOS PADRES,ALVARO OBREGON,19.34222,-99.21076
NUEVA SANTA MARIA,AZCAPOTZALCO,19.46027,-99.16746
BARRIO SAN ANTONIO,IZTAPALAPA,19.30603,-99.0779
EL SIFON,IZTAPALAPA,19.37059,-99.10823
AMPLIACION PENITENCIARIA,VENUSTIANO CARRANZA,19.43552,-99.11571
DEL RECREO,AZCAPOTZALCO,19.46964,-99.18688
VALLE DEL SUR,IZTAPALAPA,19.3505,-99.11992
MORELOS,VENUSTIANO CARRANZA,19.44726,-99.12254
LEYES DE REFORMA 1A SECCION,IZTAPALAPA,19.36088,-99.07108
SINDICATO MEXICANO DE ELECTRICISTAS,AZCAPOTZALCO,19.47706,-99.17744
PUEBLO DE LOS REYES,COYOACAN,19.33747,-99.15811
TEZOZOMOC,AZCAPOTZALCO,19.49029,-99.19956
PUEBLO SAN MIGUEL XICALCO,TLALPAN,19.23454,-99.16177
RESIDENCIAL ACOXPA,TLALPAN,19.29805,-99.12495
AVANTE,COYOACAN,19.32928,-99.13676
VALLEJO,GUSTAVO A. MADERO,19.4639,-99.12537
LOMAS DE CUAUTEPEC,GUSTAVO A. MADERO,19.56706,-99.13349
BOSQUES DEL PEDREGAL,TLALPAN,19.27051,-99.24122
RESIDENCIAL MIRAMONTES,TLALPAN,19.30252,-99.12331
FEDERAL,VENUSTIANO CARRANZA,19.41914,-99.09129
CHIMALISTAC,ALVARO OBREGON,19.34111,-99.18938
CULHUACAN CTM SECCION VIII,COYOACAN,19.32006,-99.10299
VILLA DE CORTES,BENITO JUAREZ,19.38783,-99.13709
BARRIO SAN MARCOS,AZCAPOTZALCO,19.48759,-99.17967
CUADRANTE DE SAN FRANCISCO,COYOACAN,19.34233,-99.16804
BARRIO LA ASUNCION,IZTAPALAPA,19.36506,-99.09255
PUEBLO SAN GREGORIO ATLAPULCO,XOCHIMILCO,19.25316,-99.05573
LOMAS DE LA ESTANCIA,IZTAPALAPA,19.33082,-99.0046
ERMITA ZARAGOZA,IZTAPALAPA,19.36251,-98.99547
IRRIGACION,MIGUEL HIDALGO,19.44043,-99.20527
ESTRELLA CULHUACAN,IZTAPALAPA,19.33107,-99.10668
TRANSITO,CUAUHTEMOC,19.41792,-99.13259
ESTACION PANTACO,AZCAPOTZALCO,19.47472,-99.17369
PUEBLO LA MAGDALENA PETLACALCO,TLALPAN,19.23262,-99.17941
BARRIO NORTE,ALVARO OBREGON,19.37727,-99.20307
PUEBLO TIZAPAN,ALVARO OBREGON,19.33343,-99.20447
REFORMA IZTACCIHUATL SUR,IZTAPALAPA,19.377,-99.12959
RINCONADA COAPA 2A SECCION,TLALPAN,19.29817,-99.11311
AERONAUTICA MILITAR,VENUSTIANO CARRANZA,19.4191,-99.11573
BARRIO CRUZTITLA,MILPA ALTA,19.21691,-98.99392
CONDESA,CUAUHTEMOC,19.41262,-99.17566
GOLONDRINAS 2DA SECCION,ALVARO OBREGON,19.37797,-99.21544
SANTA ROSA,GUSTAVO A. MADERO,19.52205,-99.16748
AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,ALVARO OBREGON,19.37088,-99.22748
C T M ATZACOALCO,GUSTAVO A. MADERO,19.50586,-99.09289
PUEBLO SAN MIGUEL AMANTLA,AZCAPOTZALCO,19.47715,-99.20515
ARAGON INGUARAN,GUSTAVO A. MADERO,19.46886,-99.10514
BARRIO SAN IGNACIO,IZTAPALAPA,19.36737,-99.09784
DEL CARMEN,COYOACAN,19.354,-99.17535
PAULINO NAVARRO,CUAUHTEMOC,19.41011,-99.1298
AMPLIACION PROGRESO NACIONAL,GUSTAVO A. MADERO,19.51887,-99.163
LOS MANZANOS,MIGUEL HIDALGO,19.44399,-99.1856
BELEM DE LAS FLORES,ALVARO OBREGON,19.39871,-99.21099
POSTAL,BENITO JUAREZ,19.3899,-99.14333
ALAMOS,BENITO JUAREZ,19.40151,-99.14305
BARRIO GUADALUPE,IZTAPALAPA,19.31113,-99.07001
PUEBLO SANTA CRUZ XOCHITEPEC,XOCHIMILCO,19.26082,-99.12597
PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.30452,-99.25433
CUAUTEPEC BARRIO ALTO,GUSTAVO A. MADERO,19.55494,-99.13397
COPILCO UNIVERSIDAD,COYOACAN,19.33573,-99.18126
EJERCITO DE ORIENTE,IZTAPALAPA,19.38169,-99.03623
SANTA MARIA TICOMAN,GUSTAVO A. MADERO,19.51769,-99.13452
PUEBLO LA CANDELARIA,COYOACAN,19.3331,-99.14611
INDEPENDENCIA,BENITO JUAREZ,19.37927,-99.15247
LAS CRUCES,LA MAGDALENA CONTRERAS,19.31788,-99.25751
ZONA CENTRO,VENUSTIANO CARRANZA,19.42319,-99.12369
DEL GAS,AZCAPOTZALCO,19.47186,-99.15868
INDUSTRIAL VALLEJO,AZCAPOTZALCO,19.49319,-99.15828
SAN FRANCISCO CULHUACAN BARRIO DE SANTA ANA,COYOACAN,19.33721,-99.12147
VALENTIN GOMEZ FARIAS,VENUSTIANO CARRANZA,19.41632,-99.09094
FLORIDA,ALVARO OBREGON,19.35921,-99.18354
EL TRIUNFO,IZTAPALAPA,19.37569,-99.12238
VERGEL DEL SUR,TLALPAN,19.29718,-99.13608
BARRIO SAN JUAN,MILPA ALTA,19.1863,-99.068
UNIDAD EJERCITO CONSTITUCIONALISTA,IZTAPALAPA,19.38063,-99.0515
AMPLIACION TEPEPAN,XOCHIMILCO,19.26358,-99.13012
GERTRUDIS SANCHEZ 2A SECCION,GUSTAVO A. MADERO,19.46785,-99.10228
NAN,MILPA ALTA,19.18415,-99.01521
JARDIN BALBUENA,VENUSTIANO CARRANZA,19.41952,-99.11233
PUEBLO SAN ANDRES,AZCAPOTZALCO,19.49182,-99.18351
FRANCISCO VILLA,IZTAPALAPA,19.33801,-99.05815
DEGOLLADO-MEXICATLALLI,IZTAPALAPA,19.31772,-99.0424
ANAHUAC I SECCION,MIGUEL HIDALGO,19.45033,-99.18394
CONSTITUCION DE LA REPUBLICA,GUSTAVO A. MADERO,19.48156,-99.10416
EL PARAISO,IZTAPALAPA,19.37898,-99.03294
CAMPESTRE POTRERO,TLAHUAC,19.32499,-98.96028
NUEVA EL ROSARIO,AZCAPOTZALCO,19.50388,-99.18349
PUEBLO SANTA MARIA AZTAHUACAN,IZTAPALAPA,19.35516,-99.02404
NICOLAS BRAVO,VENUSTIANO CARRANZA,19.45519,-99.12376
BARRIO SANTA ANA PONIENTE,TLAHUAC,19.29997,-99.04706
LOS OLIVOS,COYOACAN,19.31247,-99.13186
JOSE MARIA MORELOS Y PAVON,IZTAPALAPA,19.37292,-99.02831
BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.38673,-99.25217
MOLINO DE ROSAS,ALVARO OBREGON,19.37283,-99.20163
PUEBLO SAN NICOLAS TOTOLAPAN,LA MAGDALENA CONTRERAS,19.29804,-99.23987
PRESIDENTES,ALVARO OBREGON,19.37993,-99.22223
ATLANTIDA,COYOACAN,19.34193,-99.14388
PUEBLO SAN ANDRES AHUAYUCAN,XOCHIMILCO,19.22417,-99.1055
LOS SAUCES,COYOACAN,19.3029,-99.12183
ISIDRO FABELA,ALVARO OBREGON,19.38584,-99.20782
AMPLIACION LOMAS DE SAN BERNABE,ALVARO OBREGON,19.30515,-99.27071
CULHUACAN CTM CROC,COYOACAN,19.32592,-99.1195
VILLA PROGRESISTA,ALVARO OBREGON,19.35552,-99.24393
CUCHILLA AGRICOLA ORIENTAL,IZTACALCO,19.40591,-99.08018
ZONA ESCOLAR,GUSTAVO A. MADERO,19.54219,-99.14993
DEL CARMEN,GUSTAVO A. MADERO,19.54285,-99.13345
LOMAS DE CHAMONTOYA,ALVARO OBREGON,19.31409,-99.26935
MESA DE LOS HORNOS,TLALPAN,19.27442,-99.1832
SAN MIGUEL TEOTONGO SECC CORRALES,IZTAPALAPA,19.33928,-98.99248
SANTA FE PENA BLANCA,ALVARO OBREGON,19.36973,-99.26571
PUEBLO SAN LORENZO ACOPILCO,CUAJIMALPA DE MORELOS,19.33116,-99.32555
DEL MAESTRO,AZCAPOTZALCO,19.48393,-99.18231
PUEBLO SAN MARTIN XOCHINAHUAC,AZCAPOTZALCO,19.49843,-99.19023
AMPLIACION PARAJE SAN JUAN,IZTAPALAPA,19.33902,-99.06901
BARRIO SAN JUAN Y GUADALUPE TICOMAN,GUSTAVO A. MADERO,19.5235,-99.12736
CAROLA,ALVARO OBREGON,19.38436,-99.19428
AMPLIACION FUENTES DEL PEDREGAL,TLALPAN,19.3091,-99.21791
EX HIPODROMO DE PERALVILLO,CUAUHTEMOC,19.45894,-99.13394
NUEVA INDUSTRIAL VALLEJO,GUSTAVO A. MADERO,19.50415,-99.13929
SAN JUAN DE ARAGON II SECCION,GUSTAVO A. MADERO,19.45336,-99.08287
CONSEJO AGRARISTA MEXICANO,IZTAPALAPA,19.32835,-99.0538
PROGRESO NACIONAL,GUSTAVO A. MADERO,19.51981,-99.14621
ANAHUAC II SECCION,MIGUEL HIDALGO,19.44702,-99.1726
CARACOL,VENUSTIANO CARRANZA,19.42682,-99.06581
POTRERILLO,LA MAGDALENA CONTRERAS,19.30736,-99.25372
GABRIEL RAMOS MILLAN SECCION BRAMADERO,IZTACALCO,19.39482,-99.09715
XOCHIPILLI,XOCHIMILCO,19.24892,-99.08698
OBRERO POPULAR,AZCAPOTZALCO,19.4669,-99.17586
AMPLIACION 20 DE NOVIEMBRE,VENUSTIANO CARRANZA,19.44274,-99.11339
PARQUE SAN ANDRES,COYOACAN,19.34617,-99.14506
BONDOJITO,GUSTAVO A. MADERO,19.46735,-99.11073
PENITENCIARIA,VENUSTIANO CARRANZA,19.43644,-99.11446
CORPUS CHRISTY,ALVARO OBREGON,19.36335,-99.24768
AMPLIACION LOS OLIVOS,TLAHUAC,19.30452,-99.05973
INFONAVIT IZTACALCO,IZTACALCO,19.38687,-99.11169
VILLA CENTROAMERICANA,TLAHUAC,19.28089,-99.05297
EX HACIENDA COAPA,TLALPAN,19.29951,-99.12313
MIRADOR II,TLALPAN,19.26801,-99.22322
BARRIO SAN MIGUEL,IZTACALCO,19.39122,-99.11685
SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.3202,-99.22146
GRANJAS ESMERALDA,IZTAPALAPA,19.35067,-99.11438
INDUSTRIAL,GUSTAVO A. MADERO,19.4683,-99.12374
NAN,LA MAGDALENA CONTRERAS,19.27058,-99.24582
VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,19.48131,-99.11197
PUEBLO SANTA FE,ALVARO OBREGON,19.38223,-99.23887
REAL DEL MORAL,IZTAPALAPA,19.39083,-99.08061
FUEGO NUEVO,IZTAPALAPA,19.33201,-99.09553
AMPLIACION SAN JUAN DE ARAGON,GUSTAVO A. MADERO,19.47389,-99.10803
ESPERANZA,CUAUHTEMOC,19.42065,-99.12731
POLANCO I SECCION,MIGUEL HIDALGO,19.43811,-99.20972
NUEVA SANTA ANITA,IZTACALCO,19.39928,-99.12436
AMADO NERVO,CUAJIMALPA DE MORELOS,19.36924,-99.29515
LA PASTORA,GUSTAVO A. MADERO,19.52908,-99.14207
PUEBLO SAN SALVADOR CUAUHTENCO,MILPA ALTA,19.19042,-99.09082
COLINAS DEL BOSQUE,TLALPAN,19.27534,-99.15202
SAN JUAN XALPA,IZTAPALAPA,19.3336,-99.07884
SACRAMENTO,ALVARO OBREGON,19.38283,-99.1963
LA CONCHITA,ALVARO OBREGON,19.39067,-99.20689
GABRIEL RAMOS MILLAN,IZTACALCO,19.39243,-99.09959
PUEBLO TETELPAN,ALVARO OBREGON,19.34157,-99.23367
BARRIO LAS CALLES,LA MAGDALENA CONTRERAS,19.30341,-99.23465
TRES ESTRELLAS,GUSTAVO A. MADERO,19.46994,-99.11163
MOLINO DE SANTO DOMINGO,ALVARO OBREGON,19.39546,-99.20844
APATLACO,IZTAPALAPA,19.38078,-99.11576
LOMAS DE SOTELO,MIGUEL HIDALGO,19.45026,-99.21697
ROMERO DE TERREROS,COYOACAN,19.34084,-99.17351
LOS CIPRESES,IZTAPALAPA,19.35625,-99.10829
LOMAS DE REFORMA,MIGUEL HIDALGO,19.40442,-99.23522
CULHUACAN CTM SECCION V,COYOACAN,19.32833,-99.1102
POLANCO IV SECCION,MIGUEL HIDALGO,19.42764,-99.19314
EL CHARCO,TLALPAN,19.23364,-99.19859
GUADALUPE INSURGENTES,GUSTAVO A. MADERO,19.47025,-99.13293
AMPLIACION GABRIEL HERNANDEZ,GUSTAVO A. MADERO,19.50497,-99.095
SAN PEDRO EL CHICO,GUSTAVO A. MADERO,19.47434,-99.09958
VERGEL COAPA,TLALPAN,19.30377,-99.1248
SANTA CECILIA,COYOACAN,19.3039,-99.11427
ATLAMPA,CUAUHTEMOC,19.45901,-99.14955
ARENAL PUERTO AEREO,VENUSTIANO CARRANZA,19.42725,-99.05872
ARGENTINA PONIENTE,MIGUEL HIDALGO,19.46133,-99.21326
MARIANO ESCOBEDO,MIGUEL HIDALGO,19.4453,-99.18277
PUEBLO SAN PEDRO XALPA,AZCAPOTZALCO,19.48328,-99.21127
EL RODEO,IZTACALCO,19.3913,-99.08811
PERIODISTA,MIGUEL HIDALGO,19.44986,-99.21687
NAN,TLALPAN,19.27034,-99.24174
CIUDAD JARDIN,COYOACAN,19.3343,-99.14413
PEDREGAL DE SAN NICOLAS 3A SECCION,TLALPAN,19.28562,-99.23162
BARRIO CANDELARIA TICOMAN,GUSTAVO A. MADERO,19.52213,-99.13634
AQUILES SERDAN,VENUSTIANO CARRANZA,19.4442,-99.09139
BARRIO SAN BARTOLOME,TLAHUAC,19.224,-98.96189
BARRIO LOS REYES,IZTACALCO,19.39804,-99.1177
1RA SECCION CANADA,ALVARO OBREGON,19.38227,-99.2262
CIUDAD UNIVERSITARIA,COYOACAN,19.32264,-99.18005
ANZURES,MIGUEL HIDALGO,19.42624,-99.17631
INDUSTRIAL PUERTO AEREO,VENUSTIANO CARRANZA,19.41933,-99.09486
PUEBLO SAN BARTOLOME XICOMULCO,MILPA ALTA,19.20333,-99.06365
PEDREGAL DE CARRASCO,COYOACAN,19.30402,-99.1726
LOMAS ESTRELLA,IZTAPALAPA,19.31943,-99.09746
TRABAJADORES DE HIERRO,AZCAPOTZALCO,19.47857,-99.14829
BARRIO EL ROSARIO,XOCHIMILCO,19.26455,-99.10493
MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,19.42671,-99.10565
LOS PICOS DE IZTACALCO SECCION 2 A,IZTACALCO,19.38728,-99.10643
PUEBLO SAN LUCAS XOCHIMANCA,XOCHIMILCO,19.24039,-99.11474
PORTALES ORIENTE,BENITO JUAREZ,19.36575,-99.13971
A M S A,TLALPAN,19.2838,-99.14053
ALBERT,BENITO JUAREZ,19.37116,-99.13966
15 DE AGOSTO,GUSTAVO A. MADERO,19.48578,-99.10709
GABRIEL RAMOS MILLAN SECC TLACOTAL,IZTACALCO,19.39675,-99.10573
LAS PENAS,IZTAPALAPA,19.33983,-99.04773
BARRIO LA ASUNCION,TLAHUAC,19.27185,-99.00493
LA CONCHITA ZAPOTITLAN,TLAHUAC,19.2858,-99.03139
PUEBLO SAN BARTOLO AMEYALCO,ALVARO OBREGON,19.33032,-99.2769
BELVEDERE AJUSCO,TLALPAN,19.26881,-99.22818
TIERRA UNIDA,LA MAGDALENA CONTRERAS,19.30272,-99.27045
BARRIO SAN JUAN,TLAHUAC,19.27112,-99.0077
BARRIO ZAPOTLA,IZTACALCO,19.39645,-99.1214
BALCONES DE CEHUAYO,ALVARO OBREGON,19.35891,-99.24301
NUEVA TENOCHTITLAN,GUSTAVO A. MADERO,19.45655,-99.10658
BARRIO APATLACO,XOCHIMILCO,19.24737,-99.07405
VILLA DE ARAGON,GUSTAVO A. MADERO,19.46807,-99.06136
BARRIO LA MAGDALENA,TLAHUAC,19.26823,-99.00325
RESIDENCIAL ACUEDUCTO DE GUADALUPE,GUSTAVO A. MADERO,19.52503,-99.15035
PALMITAS,IZTAPALAPA,19.33821,-99.02646
DEL VALLE CENTRO,BENITO JUAREZ,19.38074,-99.16562
NAN,IZTAPALAPA,19.32218,-99.01884
EL ROSARIO,IZTAPALAPA,19.29981,-99.06596
JAMAICA,VENUSTIANO CARRANZA,19.40903,-99.12185
PUEBLO SAN MIGUEL TOPILEJO,TLALPAN,19.20007,-99.14636
SAN CLEMENTE NORTE,ALVARO OBREGON,19.34932,-99.2252
MIGUEL HIDALGO 4A SECCION,TLALPAN,19.27383,-99.20727
HEROES DE CERRO PRIETO,GUSTAVO A. MADERO,19.45146,-99.09741
INSURGENTES SAN BORJA,BENITO JUAREZ,19.38614,-99.1747
CIUDAD DE LOS DEPORTES,BENITO JUAREZ,19.38516,-99.18289
LOMAS DE CHAPULTEPEC IV SECCION,MIGUEL HIDALGO,19.42122,-99.20678
ALGARIN,CUAUHTEMOC,19.4042,-99.1381
RENOVACION,IZTAPALAPA,19.36532,-99.05181
NAN,CUAJIMALPA DE MORELOS,19.33605,-99.30019
REFORMA PENSIL,MIGUEL HIDALGO,19.44692,-99.19333
BARRIO 18,XOCHIMILCO,19.27998,-99.117
FUENTES DE TEPEPAN,TLALPAN,19.26768,-99.14846
LOMAS DE CHAPULTEPEC V SECCION,MIGUEL HIDALGO,19.4268,-99.20723
DEPORTIVO PENSIL,MIGUEL HIDALGO,19.45161,-99.20101
BARRIO SANTA APOLONIA,AZCAPOTZALCO,19.47366,-99.19215
SOLIDARIDAD NACIONAL,GUSTAVO A. MADERO,19.5315,-99.15491
ISIDRO FABELA,TLALPAN,19.30174,-99.16793
UNIDAD MODELO,IZTAPALAPA,19.36192,-99.12244
BARRIO SANTA LUCIA,AZCAPOTZALCO,19.47557,-99.20012
LOMAS DE BEZARES,MIGUEL HIDALGO,19.38647,-99.24715
COMUNEROS DE SANTA URSULA,TLALPAN,19.30097,-99.16247
SAN JUAN DE ARAGON V SECCION,GUSTAVO A. MADERO,19.45629,-99.06145
ZACAHUITZCO,BENITO JUAREZ,19.37375,-99.14083
JANITZIO,VENUSTIANO CARRANZA,19.45002,-99.11608
SAN JERONIMO ACULCO,LA MAGDALENA CONTRERAS,19.32187,-99.22178
AMPLIACION TORRE BLANCA,MIGUEL HIDALGO,19.4544,-99.1971
ARTURO MARTINEZ,ALVARO OBREGON,19.38679,-99.21416
UNIDAD CUITLAHUAC,AZCAPOTZALCO,19.47396,-99.16444
PUEBLO SAN ANDRES TOMATLAN,IZTAPALAPA,19.3277,-99.10333
SANTA INES,AZCAPOTZALCO,19.49226,-99.19099
TEPOPOTLA,ALVARO OBREGON,19.36202,-99.24973
MODELO PENSIL,MIGUEL HIDALGO,19.44272,-99.19169
PEDREGAL DE SAN NICOLAS 1A SECCION,TLALPAN,19.29701,-99.23272
CUEVITAS,ALVARO OBREGON,19.38643,-99.22366
BARRIO SANTIAGO NORTE DEL PUEBLO SANTIAGO ZAPOTITLAN,TLAHUAC,19.30313,-99.03711
VALLE DE SAN LORENZO,IZTAPALAPA,19.2997,-99.07561
NUEVA DIAZ ORDAZ,COYOACAN,19.32581,-99.14761
RINCONADA LAS HADAS,TLALPAN,19.29678,-99.11994
LA JOYA,TLALPAN,19.27935,-99.16907
AVIACION CIVIL,VENUSTIANO CARRANZA,19.41417,-99.07816
PALMAS,ALVARO OBREGON,19.37508,-99.21413
OLIVAR DEL CONDE 2DA SECCION,ALVARO OBREGON,19.37431,-99.21506
COLINAS DEL AJUSCO,TLALPAN,19.28519,-99.21881
BARRIO LA PURISIMA TICOMAN,GUSTAVO A. MADERO,19.51669,-99.14197
JARDINES TECMA,IZTACALCO,19.38858,-99.11773
CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,19.544,-99.13798
SAN ANDRES TETEPILCO,IZTAPALAPA,19.37638,-99.1275
SAN JUAN DE ARAGON,GUSTAVO A. MADERO,19.4612,-99.06232
PUEBLO ACULCO,IZTAPALAPA,19.37331,-99.10476
SANTIAGO ACAHUALTEPEC 2A AMPLIACION,IZTAPALAPA,19.34741,-99.00691
SAN SEBASTIAN,AZCAPOTZALCO,19.48003,-99.17704
LINDAVISTA NORTE,GUSTAVO A. MADERO,19.49278,-99.12089
LA PRECIOSA,AZCAPOTZALCO,19.48714,-99.19371
VALLE GOMEZ,CUAUHTEMOC,19.45856,-99.1244
CUCHILLA DEL MORAL,IZTAPALAPA,19.38435,-99.07157
NOCHE BUENA,BENITO JUAREZ,19.38153,-99.17656
VALLE GOMEZ,VENUSTIANO CARRANZA,19.4558,-99.1215
FORESTAL,GUSTAVO A. MADERO,19.56423,-99.13122
AMPLIACION GRANADA,MIGUEL HIDALGO,19.44266,-99.20289
LINDAVISTA VALLEJO 2A SECCION,GUSTAVO A. MADERO,19.49373,-99.14739
LOMAS DE TARANGO,ALVARO OBREGON,19.36184,-99.21385
PRADO CHURUBUSCO,COYOACAN,19.35341,-99.12571
VIADUCTO PIEDAD,BENITO JUAREZ,19.39917,-99.13699
VISTA ALEGRE,CUAUHTEMOC,19.41021,-99.13289
PRADOS DEL ROSARIO,AZCAPOTZALCO,19.50249,-99.2122
POLVORILLA,IZTAPALAPA,19.31755,-99.04764
